time,BTCUSDT,ETHUSDT,BTCDOWNUSDT,BTCUPUSDT
1669768225.340324,16453.12,1218.24,0.04565,2.687
1669768285.1163433,16465.29,1219.67,0.04559,2.688
1669768345.333977,16470.99,1220.49,0.045521,2.692
1669768405.206282,16470.22,1220.5,0.045542,2.697
1669768465.2753572,16474.28,1220.72,0.0455,2.695
1669768525.9696956,16480.69,1220.92,0.045453,2.696
1669768585.111753,16490.15,1222.46,0.045453,2.696
1669768646.286426,16484.85,1222.19,0.045451,2.696
1669768705.248095,16492.19,1223.44,0.045451,2.7
1669768765.165182,16493.82,1223.37,0.045452,2.7
1669768825.3372226,16579.91,1233.08,0.04518,2.72
1669768885.2951472,16735.01,1262.08,0.04413,2.766
1669768945.3265429,16704.82,1257.39,0.04435,2.757
1669769005.3503623,16794.25,1269.93,0.043955,2.785
1669769065.505908,16876.99,1277.48,0.043299,2.812
1669769125.2255578,16836.04,1273.58,0.043675,2.796
1669769185.9760432,16771.15,1268.67,0.044031,2.773
1669769245.5023975,16794.16,1271.4,0.04383,2.781
1669769305.2394438,16821.21,1274.55,0.043741,2.79
1669769365.2138212,16824.0,1274.98,0.043728,2.793
1669769425.308211,16836.54,1277.9,0.043682,2.797
1669769485.2318811,16856.51,1279.23,0.043607,2.802
1669769545.9725792,16810.04,1275.9,0.043748,2.787
1669769605.6071863,16810.05,1276.4,0.043835,2.786
1669769665.2298727,16806.91,1273.92,0.043839,2.788
1669769725.960341,16812.28,1274.1,0.043832,2.791
1669769785.3648958,16858.42,1276.11,0.043592,2.805
1669769845.2828708,16846.9,1274.26,0.043705,2.804
1669769905.3512948,16867.39,1275.62,0.04358,2.806
1669769965.2618284,16857.71,1275.29,0.043551,2.804
1669770025.416932,16846.85,1274.76,0.0436,2.804
1669770085.3225884,16887.24,1278.03,0.043385,2.815
1669770145.5733914,16939.17,1280.22,0.0432,2.827
1669770205.3792286,16904.25,1276.39,0.043397,2.818
1669770266.0987563,16945.31,1278.46,0.04325,2.829
1669770325.4548364,16918.27,1275.52,0.043282,2.823
1669770385.425283,16899.24,1273.88,0.043387,2.812
1669770445.3442025,16868.0,1270.52,0.043588,2.806
1669770505.1889813,16877.02,1271.77,0.04357,2.81
1669770565.3298092,16905.98,1272.6,0.043279,2.816
1669770625.5400765,16897.27,1272.27,0.043456,2.818
1669770685.1541955,16888.24,1270.68,0.043509,2.81
1669770745.3386574,16863.52,1268.9,0.04364,2.802
1669770805.9821963,16903.57,1271.95,0.04343,2.815
1669770865.189792,16904.5,1272.11,0.043335,2.816
1669770925.858239,16904.31,1272.06,0.043298,2.818
1669770985.1738217,16884.75,1269.92,0.0434,2.813
1669771045.169689,16875.08,1268.45,0.043414,2.812
1669771105.381035,16897.11,1270.4,0.043346,2.814
1669771165.2981713,16881.7,1268.93,0.043356,2.811
1669771225.499467,16867.19,1267.91,0.043576,2.811
1669771285.2203517,16872.06,1268.05,0.043577,2.806
1669771346.4509826,16880.49,1270.03,0.043469,2.811
1669771405.4817984,16879.65,1270.07,0.043524,2.814
1669771466.295117,16861.61,1267.06,0.043571,2.803
1669771525.4293108,16868.76,1268.34,0.043538,2.808
1669771585.2963986,16865.34,1267.71,0.043565,2.808
1669771645.233323,16859.82,1267.51,0.043648,2.8
